Codigo,Tipo,Nombre,Dir,Ciudad,Prov,CP,Tel
E0001,1.0,ABBOTT LABORATORIES,AVDA DE BURGOS,MADRID,MADRID,28050,913375200
E0002,1.0,ABELLO,JOSEFA VALCARCEL,MADRID,MADRID,28027,913210600
E0004,1.0,TECNISAN,POL. IND. EL MESSELL,EL CAMPELLO,ALICANTE,03560,956631534
E0005,1.0,BARNATRON,AVD  JOSEP ANSELM CLAVE,ESPLUGUES DE LLOBREGAT,BARCELONA,08950,934735144
E0006,1.0,DIMEFAR,C/   PUJOL,BARCELONA,BARCELONA,08022,934188660
E0007,1.0,AGUA DEL CARMEN,"AVDA ESTANISLAO FIGUERAS, 4",TARRAGONA,TARRAGONA,43003,977233613
E0008,1.0,ROBIS,C/   COLOMERA,ALBOLOTE,GRANADA,18220,958467722
E0009,,ABOCA,C/   JAUME COMAS I JO,MATARO,BARCELONA,08304,937410320
E0011,1.0,ALDO UNION,"C/   BARONESA DE MALDA, 73",ESPLUGAS DE LLOBREGAT,BARCELONA,08950,933727111
E0012,1.0,ALE PEDEMONTE,"PASAJE JAIME ROIG, 26-28",BARCELONA,BARCELONA,08028,933337016
E0013,1.0,CENTRO ANDALUZ DE DIAGNOSTICO PET,RD   CAPUCHINOS,SEVILLA,SEVILLA,41009,954432537
E0014,1.0,ALMIRALL S.A.,RDA. GRAL. MITRE,BARCELONA,BARCELONA,08022,932913000
E0015,1.0,ALTER,"MATEO INURRIA, 30",MADRID,MADRID,28036,913592000
E0016,1.0,LA LEONESA,CRTA ORENSE,PONFERRADA,LEON,24400,987415942
E0017,1.0,ROUSSEL IBERICA,"AVDA DE LEGANES, 62",ALCORCON,MADRID,28925,916858400
E0018,1.0,GRÜNENTHAL PHARMA,DR. ZAMENHOF,MADRID,MADRID,28027,913019300
E0019,1.0,PHARMACIA SPAIN,AVDA. DE EUROPA. 20-B. PARQUE EMPRESARIAL LA MORALEJA,ALCOBENDAS,MADRID,28108,914909900
E0020,1.0,APROFA,"PLG. GLORIAS CATALANAS, 15",TARRASA,BARCELONA,08223,937853700
E0021,1.0,BEDAR,POLIGONO UGARTE CALLE ALTA NAVE C8,ZARATAMO,BIZKAIA,48920,944960980
E0022,1.0,LABORATORIOS DIAFARM,AVDA D'ARRAONA,BARBERA DEL VALLES,BARCELONA,08210,937192120
E0023,1.0,EXIKO,C/   BERTRAN I GÜELL,GAVA,BARCELONA,08850,902262031
E0024,1.0,INTERAPOTHEK,CTRA SANTOMERA ABANILLA,MATANZAS-SANTOMERA,MURCIA,30140,968277524
E0025,1.0,ANROCH FHARMA,C/   NORUEGA,GRIÑON,MADRID,28971,918141917
E0026,1.0,DUNCAN FARMACEUTICA,C/   SEVERO OCHOA,TRES CANTOS,MADRID,28760,918070301
E0028,1.0,CAROL,"PINTOR PINAZO, 6",MANISES,VALENCIA,46940,963601208
E0030,1.0,ASTIER,, , ,,0
E0031,1.0,FINEMAN,CAMILO JOSE CELA,NAVALCARNERO,MADRID,28600, 
E0034,1.0,ANGELINI FARMACEUTICA S.A.,C/   OSI,BARCELONA,BARCELONA,08034,932534505
E0035,1.0,YAMANOUCHI SPAIN S.L.,PASEO DEL CLUB DEPORTIVO,POZUELO DE ALARCÓN,MADRID,28223,914952700
E0036,1.0,LA PIRENAICA,C/   PASSATGE DE COLL,BARCELONA,BARCELONA,08019,933071391
E0037,1.0,GALEPHARMA IBERICA,"BALMES, 127",SAN ADRIAN DE BESOS,BARCELONA,08930,933816656
E0043,1.0,BAYER,AVD  BAIX LLOBREGAT,SANT JOAN DESPI,BARCELONA,08970,934956500
E0045,1.0,BERENGUER BENEYTO,, , ,,0
E0047,1.0,BESCANSA,VIA PASTEUR,SANTIAGO DE COMPOSTELA,LA CORUÑA,15890,981958002
E0048,1.0,PHYSICA,C/   VALLES,SANT CUGAT DEL VALLES,BARCELONA,08172,935901880
E0050,1.0,BILBO,, , ,,0
E0051,1.0,FARMACEUTICA ESSEX,C    CANTABRIA,ALCOBENDAS,MADRID,28108,915673000
E0054,1.0,ROCHE DIAGNOSTICS,"AV.  DE LA GENERALITAT, 171-173",SANT CUGAT DEL VALLÈS,BARCELONA,08174,
E0055,1.0,BOI,POLÍGONO MERCK APARTADO 47,MOLLET DEL VALLÈS,BARCELONA,08100,935655500
E0056,1.0,BONALD,, , ,,0
E0058,1.0,FEDERICO BONET,, , ,,0
E0059,1.0,BONIQUET,"FREIXA, 5-9",BARCELONA,BARCELONA,08021,932014240
E0060,1.0,BONMATI,"AMPURDAN, 32",FIGUERAS,GERONA,17600,972501351
E0064,1.0,BRUM,QUEVEDO,OVIEDO,ASTURIAS,33012,985297111
E0066,1.0,BUCCA,"JUAN ALVAREZ MENDIZABAL, 43",MADRID,MADRID,28008, 
E0068,1.0,DOM,C/   GALLO,ESPLUGUES DE LLOBREGAT,BARCELONA,08950,933718253
E0070,1.0,"BOEHRINGER INGELHEIM, S.A.",C    PRAT DE LA RIBA,SANT CUGAT DEL VALLES,BARCELONA,08174,934045100
E0071,1.0,STAFFORD MILLER,POL IND MALPICA C/C 102-F,ZARAGOZA,ZARAGOZA,50016,976570909
E0075,1.0,CAMPS,"PLANETA, 39",BARCELONA,BARCELONA,08012,932186285
E0077,1.0,CAÑIZARES,C/   BONAVISTA,ROCAFORT,VALENCIA,46111,961312356
E0078,1.0,NOVO NORDISK PHARMA,VIA DE LOS POBLADOS,MADRID,MADRID,28033,900550055
E0080,1.0,ASTRA ESPAÑA,"SERRANO GALVACHE, 56",MADRID,MADRID,28033,913019100
E0081,1.0,CARULLA VEKAR,"CRTA. NACIONAL I, KM 16.2",ALCOBENDAS,MADRID,28100,916533199
E0083,1.0,FISONS IBERICA,"AVDA LEGANES, 62",ALCORCON-LEGANES,MADRID,50180,916858400
E0084,,"EUROPHARMA, S.A.",, , ,,934045100
E0085,1.0,TECEFARMA,"GUIFRE, 724.",BADALONA,BARCELONA,08918,934628800
E0086,1.0,CASTILLO,, , ,,0
E0088,1.0,PIROR,, , ,,0
E0089,1.0,ESPECIALIDADES FARMACEUTICAS CENTRUM,C/   SAGITARIO,ALICANTE,ALICANTE,03006,687885502
E0091,1.0,MADAUS,FOC,BARCELONA,BARCELONA,08038,932988200
E0092,1.0,CECEF,, , ,,0
E0094,1.0,CIBA GEIGY,"C. DE LA MARINA, 206",BARCELONA,BARCELONA,08013,937286131
E0095,1.0,CIDAN,"ULLDECONA, 69",BENICARLO,CASTELLON,12580, 
E0097,1.0,BYLY,"AVDA GUIPUZCOA, 159",BARCELONA,BARCELONA,08020,933050603
E0098,1.0,CLARIANA,CTRA.CARLET VALENCIA KM 0.5,CARLET,VALENCIA,46240,962530466
E0101,1.0,CODORNIU CARRIGA,, , ,,0
E0103,1.0,BYK NYCOMED LEO,"AVDA PIO XII, 99",MADRID,MADRID,28036,913020045
E0106,1.0,MONSANTO ESPAÑA,"AVDA DE BURGOS 17. EDIFICIO TRIADA ""TORRE A"".",MADRID,MADRID,28036,915895270
E0111,1.0,CINFA,C/   OLAZ-CHIPI,HUARTE-PAMPLONA,NAVARRA,31620,948335005
E0112,1.0,PROCTER GAMBLE ESPAÑA,AVDA BRUSELAS,ALCOBENDAS,MADRID,28108,917222259
E0113,1.0,CRUZ SALAS,, , ,,0
E0114,1.0,FOURNIER S.A.,AVDA DIAGONAL,BARCELONA,BARCELONA,08029,934954500
E0116,1.0,CHEMINOVA,"EMILIO MUÑOZ, 15",MADRID,MADRID,, 
E0118,1.0,EDOSA,COMPOSITOR BACH,RUBI,BARCELONA,08191,936996100
E0119,1.0,DAVUR,, , ,,0
E0121,1.0,SYNTHELABO PHARMA,"RAMIREZ DE ARELLANO, 31",MADRID,MADRID,28043,913938000
E0124,1.0,PRODUCTOS CAPILARES,"LOPEZ BRAVO, 78 PLG IND. VILLALONQUEJAR",BURGOS,BURGOS,09080,947258300
E0127,1.0,FARMADIEZ,, , ,,0
E0128,1.0,DIFTERSA,"SAN JUAN, 20",MANLLEU,BARCELONA,08560,938513311
E0129,1.0,DISTA,"AVDA DE LA INDUSTRIA, 30",ALCOBENDAS,MADRID,28108,916635000
E0130,1.0,DITER,, , ,,0
E0132,1.0,ANDREU,CTRA CARABANCHEL A ANDALUCIA S/N,MADRID,MADRID,28025,935086240
E0133,1.0,BIAL INDUSTRIAL FARMACEUTICA,PARQUE CIENTÍFICO TECNOLÓGICO DE BIZKAIA. EDIFICIO 401,ZAMUDIO,BIZKAIA,48170,944438000
E0134,1.0,BAUXILI,"NUEVA, 52",IGUALADA,BARCELONA,08700,938031933
E0135,1.0,BUSTO,PSO  DEL DELEITE,ARANJUEZ,MADRID,28300,918090344
